model,measure,value
v1G2,avg,1.0831810760498046
v1G2,global,0.555048942565918
v3G2,modal,"[ 0.57251913  0.57248845  1.00578122  0.22336263  0.22204548  1.03475578
  0.03856058  0.03800974  0.07462517  0.07390406  0.07485949  0.07297192
  1.03535974 -0.06615603 -0.06820618  0.08440922  0.08386033 -0.04769837
 -0.0478813   0.09180388  0.09183688 -0.09449279 -0.09375119 -0.05685649
 -0.05666664  1.03090907  0.16340703  0.16307499  1.00673661  0.04672571
  0.04737132  0.36246695  0.36248838  0.04042418  0.04052501  0.19868121
  0.19920573 -0.0439244  -0.04353099  0.10078309  0.09906718  0.03783654
  0.03690477  0.09067961  0.0880144   1.00139454  1.00052297  0.0032936
  0.0030209   0.10202264  0.10242685  0.04399896  0.04211002 -0.08137223
 -0.08214772  0.13339282  0.13488984  0.12987378  0.13123521 -0.09071176
 -0.09168241  0.72879655  0.7295192   1.00198841  1.00031371 -0.12061753
 -0.12155091  0.23332092  0.23398344  0.36815832  0.36786557  0.13804558
  0.13766917  0.1775458   0.17612159 -0.03827854 -0.0395914   0.15835887
  0.15813616  0.55054792  0.54910656  1.00743737  0.08377307  0.08472199
  0.32055367  0.3220403  -0.05431525 -0.05165834  1.00014262  0.06173185
  0.05937121  1.0085066   0.38611185  0.38474508  0.79614665  0.79683299
  1.00513821  0.99936282  1.01425973  0.99843031]"
v3G2,avg_modal,0.27982330322265625
v3G2,avg,1.0226947021484376
v3G2,global,0.46374380588531494
v1G3,modal,"[ 0.06441781  0.04067373  0.00284724 -0.01571616  0.04365639  0.05333427
 -0.05281195 -0.01610268 -0.05626938 -0.02987586 -0.00545361 -0.02246999
  0.03160966  0.03217636  0.07409697  0.0712619   1.05134735  0.08646195
  0.07781239 -0.01444073 -0.04251437  0.03685843  0.02304881  1.00377854
  0.05866936  0.03827607 -0.02294569 -0.0304614  -0.02409479 -0.03609981
 -0.08500681 -0.07598749  0.01160418  0.00866412  0.09169197  0.06921861
  1.00461153 -0.0160527  -0.01550245  0.45914066  0.44809792 -0.0954057
 -0.08885074  0.15002118  0.1554886  -0.08428816 -0.05690677  0.08222315
  0.0853902   0.04612044  0.04497895  0.13020959  0.14396654  0.1216927
  0.10648794  0.09952527  0.06138638 -0.08568683 -0.13417283  0.09556653
  0.11493106  1.01600187 -0.15660935 -0.17288868  0.09218587  0.08423205
  0.30705735  0.31599499  0.29653583  0.2900988   0.05399167  0.04253317
  0.0628074   0.03828089  0.15010758  0.1431832   0.54810953  0.5389331
  1.00027407 -0.06677146 -0.03335362  1.01123673  0.09536035  0.08954168
  0.99804612  0.5784405   0.58253221  0.34418969  0.37109944  0.40674632
  0.40781568  1.00542749  0.15734882  0.13040701  0.34293739  0.32446618
  1.01286479  0.14332392  0.14868478  0.98445122]"
v1G3,avg_modal,0.1889985203742981
v1G3,avg,1.0815557861328124
v1G3,global,0.5550001263618469
